plot,co2,treatment_fertilisation,year,c_leaf,c_wood,c_froot,fc_grow_leaf,fc_grow_wood,fc_grow_froot,fc_grow_repr,fc_npp,fc_repr_litter,fc_leaf_litter_pine,fc_leaf_litter_hardwood,fc_wood_to_litter,fc_froot_to_litter,n_leaf,n_wood,n_froot,fn_croot_to_litter,fn_wood_to_litter,fn_plantuptake,fn_leaf_to_litter,fn_leaf_to_store,ptrait_lai,ptrait_lai_peak,fw_transp 
4,ELE,AMB,2005,    571.0587,   11723.412,   141.41529,    308.5733,    654.6122,    25.14207,   4.3250669,1007.3977,   4.3250669,    311.7297,    60.93791,   110.16406,   23.617842,       11.15,       36.53,        3.13,        1.50,        0.52,        8.41,        4.74,        2.74,4.001041,6.04,     285.585
5,AMB,AMB,2005,    505.8928,   11357.204,   123.68988,    295.8482,    659.1613,    76.90949,   1.8913939,1044.6836,   1.8913939,    266.1875,    59.06843,    29.20277,   28.521666,       10.94,       34.93,        2.51,        0.67,        0.58,        9.44,        4.52,        2.93,3.67926,5.64,     502.879
6,AMB,AMB,2005,    470.7060,   10008.170,   133.05770,    271.3459,    457.0328,    29.70841,   1.3508761,768.7234,   1.3508761,    256.1592,    45.16565,   100.14025,   37.409034,        8.95,       28.64,        3.01,        1.55,        0.85,        6.69,        3.63,        2.24,3.318822,5.04,     333.098
1,AMB,AMB,2006,          NA,          NA,          NA,          NA,          NA,          NA,          NA,1125.4619,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,3.338959,5.43,     347.478
2,ELE,AMB,2006,          NA,          NA,          NA,          NA,          NA,          NA,          NA,1310.7764,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,4.313315,6.75,     439.838
3,ELE,AMB,2006,          NA,          NA,          NA,          NA,          NA,          NA,          NA,1846.5087,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,4.350192,6.39,     471.888
4,ELE,AMB,2006,          NA,          NA,          NA,          NA,          NA,          NA,          NA,1298.0443,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,3.965644,5.99,     365.055
5,AMB,AMB,2006,          NA,          NA,          NA,          NA,          NA,          NA,          NA,1257.9967,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,3.826192,5.86,     558.789
6,AMB,AMB,2006,          NA,          NA,          NA,          NA,          NA,          NA,          NA,1005.3996,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,3.522959,5.34,     385.162
1,AMB,AMB,2007,          NA,          NA,          NA,          NA,          NA,          NA,          NA,954.4631,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,2.841041,4.64,     365.012
2,ELE,AMB,2007,          NA,          NA,          NA,          NA,          NA,          NA,          NA,1163.6688,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,3.96274,6.17,     397.381
3,ELE,AMB,2007,          NA,          NA,          NA,          NA,          NA,          NA,          NA,1431.461,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,4.261781,6.25,     387.787
4,ELE,AMB,2007,          NA,          NA,          NA,          NA,          NA,          NA,          NA,800.4092,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,3.660959,5.65,     324.488
5,AMB,AMB,2007,          NA,          NA,          NA,          NA,          NA,          NA,          NA,1057.6114,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,3.400301,5.2,     472.631
6,AMB,AMB,2007,          NA,          NA,          NA,          NA,          NA,          NA,          NA,809.4271,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,3.151288,4.93,     340.384
