Comm,co2,treatment_o3,plot,year,fc_npp,fc_grow_repr,fc_leaf_litter,fc_grow_croot,fc_grow_wood,ptrait_lai,fc_froot_to_litter_1t2mm,fc_froot_to_litter_lt1mm,fc_grow_leaf,fc_grow_froot,ptrait_lai_peak,fc_grow_froot.1,ptrait_nconc_leaf,n_leaf,c_froot,c_croot,c_wood,c_leaf,fn_leaf_to_litter,ptrait_lma,ptrait_sla
AM,AMB,AMB,1,1998,        53.0,         0.1,         4.0,        13.1,        26.8,        0.12,         0.7,         4.5,         4.6,         8.4,        0.12,         8.4,        1.87,        0.28,3.5,14.6,27.7,7.2,          NA,          NA,          NA
AM,AMB,AMB,2,1998,        51.0,         0.1,         4.0,        13.0,        26.1,        0.12,         0.7,         4.4,         3.7,         8.1,        0.12,         8.1,        1.78,        0.26,3.4,14.4,26.9,7.2,          NA,          NA,          NA
AM,AMB,AMB,3,1998,        62.0,         0.1,         4.8,        15.1,        32.2,        0.11,         0.8,         5.0,         5.5,         9.1,        0.11,         9.1,        1.85,        0.32,3.8,16.6,33.1,8.6,          NA,          NA,          NA
AM,ELE,AMB,1,1998,       109.0,         0.0,         8.0,        28.9,        56.2,        0.20,         1.6,         7.6,         8.3,        15.6,        0.20,        15.6,        1.79,        0.52,7,31.4,57.5,13.7,          NA,          NA,          NA
AM,ELE,AMB,2,1998,        71.0,         0.0,         5.3,        19.9,        34.9,        0.14,         1.1,         5.2,         5.5,        10.7,        0.14,        10.7,        1.61,        0.30,4.8,22.1,35.9,9.4,          NA,          NA,          NA
AM,ELE,AMB,3,1998,        90.0,         0.0,         7.2,        25.7,        44.3,        0.19,         1.3,         6.2,         7.3,        12.7,        0.19,        12.7,        1.71,        0.42,5.7,27.7,45.3,12.3,          NA,          NA,          NA
AM,AMB,ELE,1,1998,        44.0,         0.0,         3.5,        10.2,        22.4,        0.07,         0.4,         4.5,         3.9,         7.5,        0.07,         7.5,        1.45,        0.19,2.9,11.6,23.3,6.3,          NA,          NA,          NA
AM,AMB,ELE,2,1998,        60.0,         0.0,         4.9,        12.8,        33.3,        0.12,         0.5,         5.5,         4.6,         9.3,        0.12,         9.3,        2.34,        0.42,3.6,14.1,34.3,8.9,          NA,          NA,          NA
AM,AMB,ELE,3,1998,        40.0,         0.0,         3.3,         9.1,        21.0,        0.07,         0.3,         3.7,         3.7,         6.2,        0.07,         6.2,        1.65,        0.20,2.4,10.2,21.7,5.9,          NA,          NA,          NA
AM,ELE,ELE,1,1998,        91.0,         0.0,         6.9,        21.6,        43.1,        0.17,         2.2,        10.3,         7.1,        19.2,        0.17,        19.2,        1.68,        0.41,7.2,23.5,44.3,11.7,          NA,          NA,          NA
AM,ELE,ELE,2,1998,        85.0,         0.0,         6.0,        19.3,        41.8,        0.16,         1.8,         9.9,         6.2,        17.7,        0.16,        17.7,        1.47,        0.32,6.6,21.1,42.8,10.8,          NA,          NA,          NA
AM,ELE,ELE,3,1998,        26.0,         0.0,         2.1,         7.0,        11.3,        0.05,         0.6,         3.3,         2.0,         5.7,        0.05,         5.7,        1.30,        0.09,2.2,8.4,12,3.6,          NA,          NA,          NA
A,AMB,AMB,1,1999,       389.0,         1.0,        38.0,        62.4,       248.1,        1.03,         6.4,        18.3,        40.8,        36.7,        1.03,        36.7,        1.88,        2.61,19.8,101.8,333.9,67.7,          NA,          NA,          NA
A,AMB,AMB,2,1999,       425.0,         0.4,        42.5,        64.8,       275.1,        1.28,         7.2,        20.7,        43.7,        41.0,        1.28,        41.0,        1.78,        2.79,22.4,111.4,384.6,79.6,          NA,          NA,          NA
A,AMB,AMB,3,1999,       421.0,         0.8,        45.4,        63.0,       268.8,        1.22,         7.2,        20.8,        48.3,        40.1,        1.22,        40.1,        1.89,        3.08,22.5,116.9,402,81.5,          NA,          NA,          NA
A,ELE,AMB,1,1999,       576.0,         0.0,        50.1,        93.3,       384.4,        1.42,         6.1,        26.4,        49.7,        48.6,        1.42,        48.6,        1.81,        3.60,25.1,145.7,499.6,95.2,          NA,          NA,          NA
A,ELE,AMB,2,1999,       494.0,         0.0,        46.3,        77.3,       325.4,        1.12,         5.7,        24.7,        45.8,        45.5,        1.12,        45.5,        1.62,        2.71,23.5,119.7,420.6,84.1,          NA,          NA,          NA
A,ELE,AMB,3,1999,       500.0,         0.0,        49.4,        79.1,       321.4,        1.06,         6.6,        28.5,        49.0,        50.5,        1.06,        50.5,        1.83,        3.36,27.1,138.4,457,92.6,          NA,          NA,          NA
A,AMB,ELE,1,1999,       295.0,         0.4,        27.5,        48.9,       165.7,        0.70,         5.8,        31.2,        29.3,        50.7,        0.70,        50.7,        1.46,        1.49,24.2,86.2,235.4,49,          NA,          NA,          NA
A,AMB,ELE,2,1999,       325.0,         0.4,        31.2,        49.4,       185.7,        0.93,         6.6,        35.2,        32.8,        56.7,        0.93,        56.7,        2.36,        2.70,27.3,90.8,273.5,61.6,          NA,          NA,          NA
A,AMB,ELE,3,1999,       342.0,         0.3,        33.1,        52.9,       201.1,        0.83,         6.2,        33.4,        33.9,        53.8,        0.83,        53.8,        1.66,        2.01,25.9,96,292.3,60.9,          NA,          NA,          NA
A,ELE,ELE,1,1999,       352.0,         0.6,        30.5,        52.7,       194.4,        0.69,         9.6,        44.3,        32.2,        72.1,        0.69,        72.1,        1.81,        2.08,31.5,91.4,272.3,54.4,          NA,          NA,          NA
A,ELE,ELE,2,1999,       383.0,         0.8,        35.6,        53.5,       209.9,        0.81,        10.9,        50.5,        38.4,        80.4,        0.81,        80.4,        1.48,        1.96,35.9,101.3,318.1,66.6,          NA,          NA,          NA
A,ELE,ELE,3,1999,       348.0,         0.5,        30.7,        52.4,       193.9,        0.68,         9.1,        42.0,        33.0,        68.2,        0.68,        68.2,        1.38,        1.57,29.8,91.4,273.1,57,          NA,          NA,          NA
AB,AMB,AMB,1,1999,       365.0,         0.8,        45.0,        58.4,       230.9,        1.22,         4.3,        13.3,        47.7,        27.2,        1.22,        27.2,        1.77,        2.55,13.8,83.1,291,69.3,          NA,          NA,          NA
AB,AMB,AMB,2,1999,       313.0,         0.5,        41.5,        50.9,       190.7,        1.29,         4.5,        13.9,        43.1,        27.8,        1.29,        27.8,        1.73,        2.22,14.4,76.7,253.2,64.6,          NA,          NA,          NA
AB,AMB,AMB,3,1999,       426.0,         1.1,        59.7,        65.5,       261.7,        1.54,         5.7,        17.7,        63.1,        34.6,        1.54,        34.6,        1.77,        3.16,18.4,107,371.8,88.2,          NA,          NA,          NA
AB,ELE,AMB,1,1999,       556.0,         0.0,        66.4,        86.2,       352.5,        1.83,         7.0,        25.4,        66.9,        50.4,        1.83,        50.4,        1.72,        3.51,26.2,125.1,451.8,99.3,          NA,          NA,          NA
AB,ELE,AMB,2,1999,       506.0,         0.0,        55.8,        77.9,       332.0,        1.58,         5.5,        19.9,        56.2,        39.9,        1.58,        39.9,        1.54,        2.80,20.5,110.6,414.9,90.3,          NA,          NA,          NA
AB,ELE,AMB,3,1999,       477.0,         0.0,        58.4,        74.1,       304.4,        1.64,         5.8,        20.8,        58.2,        40.3,        1.64,        40.3,        1.74,        3.20,21.4,115.3,412.7,91.9,          NA,          NA,          NA
AB,AMB,ELE,1,1999,       248.0,         0.7,        30.9,        40.1,       152.6,        0.70,         2.5,        12.5,        33.6,        21.0,        0.70,        21.0,        1.53,        1.51,9.9,65.6,217.4,47.5,          NA,          NA,          NA
