Ring,plot,tree,CO2,dbh_m,height_m,stemarea_m2,total.woodarea_m2,stemmass_kg,total.woodmass_kg
4,plot 4,18,ele,0.221,12,4.81,8.313333333,138.8533333,170.0133333
4,plot 4,19,ele,0.258,18.03333333,7.36,13.93333333,254.7466667,336.4733333
4,plot 4,20,ele,0.132666667,10.63,3.413333333,6.486666667,72.324,102.5
4,plot 4,21,ele,0.246666667,14.4,4.823333333,7.526666667,155.8,179.3066667
4,plot 4,22,ele,0.234666667,13.4,5.023333333,7.816666667,231.5133333,275.52
4,plot 4,23,ele,0.132,12,3.843333333,13.56666667,83.50333333,183.4066667
4,plot 4,24,ele,0.143333333,10.35,3.98,5.763333333,85.88133333,104.96
4,plot 4,25,ele,0.109566667,6.106666667,1.526666667,1.896666667,29.21933333,31.84333333
4,plot 4,26,ele,0.248666667,16.9,6.4,10.39,220.3066667,262.4
4,plot 4,27,ele,0.169666667,12.5,3.986666667,6.736666667,94.02666667,120.54
4,plot 4,28,ele,0.245666667,15.23333333,6.246666667,15.63333333,203.9066667,304.4933333
4,plot 4,29,ele,0.291333333,17.13333333,9.033333333,18.23333333,378.2933333,479.4266667
4,plot 4,30,ele,0.216,15.2,5.486666667,8.47,165.9133333,191.6066667
4,plot 4,31,ele,0.1474,15.3,4.233333333,6.396666667,90.06333333,107.8846667
4,plot 4,32,ele,0.151,9.66,2.49,5.563333333,53.19066667,69.454
4,plot 4,33,ele,0.146333333,11.93333333,4.083333333,6.533333333,97.03333333,124.64
4,plot 4,34,ele,0.16,16.36666667,4.263333333,8.07,97.30666667,127.3733333
4,plot 4,35,ele,0.29,18.03333333,8.663333333,16.73333333,335.38,438.1533333
4,plot 4,36,ele,0.189,12.83333333,4.253333333,8.523333333,120.8133333,169.74
4,plot 4,37,ele,0.177666667,13.26666667,4.16,8.566666667,111.7933333,155.2533333
4,plot 4,38,ele,0.214666667,18.2,6.666666667,12.46666667,207.1866667,260.2133333
4,plot 4,39,ele,0.241,18.36666667,8.176666667,11.63333333,285.0866667,317.0666667
4,plot 4,40,ele,0.255,13.16666667,5.686666667,9.253333333,172.2,207.46
4,plot 4,41,ele,0.277333333,17.03333333,7.463333333,13.03333333,242.1733333,317.8866667
5,plot 5,1,ele,0.132,12.2,3.326666667,4.276666667,72.76133333,80.55133333
5,plot 5,2,ele,0.238,21.6,8.623333333,12.23333333,294.1066667,331.8266667
5,plot 5,3,ele,0.322666667,20.73333333,9.466666667,19.8,352.8733333,501.2933333
5,plot 5,4,ele,0.271,15.83333333,5.686666667,6.173333333,194.34,197.62
5,plot 5,5,ele,0.334,21.16666667,10.02,18.26666667,372.0066667,477.5133333
5,plot 5,6,ele,0.246666667,20.3,7.683333333,11.6,246.2733333,294.6533333
5,plot 5,7,ele,0.134,14.06666667,3.68,5.613333333,83.36666667,101.1333333
5,plot 5,8,ele,0.260333333,18.53333333,8.75,14.96666667,294.6533333,379.3866667
5,plot 5,9,ele,0.159,10.96666667,3.153333333,3.27,73.636,74.81133333
5,plot 5,10,ele,0.398333333,16.46666667,10.95,29.6,490.6333333,758.2266667
5,plot 5,11,ele,0.156333333,10.53333333,3.303333333,9.43,80.74266667,135.0266667
5,plot 5,12,ele,0.158,12.6,4.25,6.773333333,104.6866667,128.74
5,plot 5,13,ele,0.252,18.63333333,8.243333333,14.5,276.0666667,344.4
5,plot 5,14,ele,0.295666667,21.3,9.45,12.76666667,377.4733333,406.72
5,plot 5,15,ele,0.177333333,18.1,5.663333333,9.003333333,139.1266667,165.0933333
5,plot 5,16,ele,0.27,22,9.323333333,18.96666667,297.66,418.7466667
5,plot 5,17,ele,0.127666667,8.263333333,2.273333333,3.923333333,44.69,58.98533333
5,plot 5,18,ele,0.174,14.93333333,4.323333333,8.086666667,103.5933333,140.22
5,plot 5,19,ele,0.285666667,20.06666667,8.993333333,14.9,320.8933333,395.7866667
5,plot 5,20,ele,0.217666667,11.7,4.196666667,11.34666667,129.2866667,200.08
5,plot 5,21,ele,0.374,20.56666667,9.993333333,24.8,396.3333333,611.1733333
5,plot 5,22,ele,0.394,21.23333333,9.853333333,15.93333333,429.4066667,493.64
5,plot 5,23,ele,0.172,14.06666667,4.963333333,9.713333333,121.9066667,169.74
5,plot 5,24,ele,0.302333333,21.56666667,10.01333333,12.8,388.9533333,430.5
5,plot 5,25,ele,0.119333333,8.683333333,2.386666667,2.793333333,51.906,55.40466667
5,plot 5,26,ele,0.166666667,13.36666667,6.686666667,27.86666667,157.7133333,417.9266667
5,plot 5,27,ele,0.169666667,14.56666667,4.153333333,9.67,91.29333333,140.7666667
